NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.188,0.249,16.154,21.029,0.537,0.799,0.412,0.320
2,0.112,0.133,18.425,22.279,0.615,0.813,0.648,0.401
3,0.089,0.114,21.114,25.172,0.701,0.846,0.793,0.674
4,0.081,0.086,22.516,26.866,0.761,0.874,0.847,0.772
5,0.077,0.082,23.470,27.033,0.778,0.875,0.861,0.771
6,0.072,0.075,24.289,27.756,0.798,0.885,0.879,0.797
7,0.067,0.068,24.896,28.326,0.825,0.886,0.892,0.820
8,0.065,0.064,25.301,28.860,0.828,0.894,0.901,0.838
9,0.062,0.060,25.713,29.302,0.838,0.900,0.904,0.847
10,0.059,0.057,26.072,29.565,0.846,0.904,0.914,0.853
11,0.056,0.050,26.408,29.860,0.861,0.907,0.918,0.865
12,0.056,0.049,26.704,30.081,0.863,0.909,0.923,0.870
13,0.053,0.046,26.968,30.370,0.871,0.913,0.928,0.877
14,0.050,0.043,27.196,30.564,0.876,0.916,0.932,0.882
15,0.049,0.044,27.430,30.715,0.881,0.918,0.933,0.886
16,0.049,0.041,27.642,30.937,0.887,0.921,0.935,0.891
17,0.046,0.041,27.853,31.009,0.891,0.922,0.938,0.892
18,0.044,0.039,28.080,31.168,0.894,0.925,0.941,0.895
19,0.043,0.038,28.237,31.299,0.898,0.926,0.943,0.898
20,0.043,0.037,28.394,31.459,0.901,0.928,0.945,0.901
