,L_PSNR,L_SSIM,PSNR,SSIM
0,12.5815021306,0.352614206582,15.7543631031,0.624247978936
1,13.7003750027,0.463689914529,17.4970785432,0.692727708108
2,15.254072429,0.503061989433,19.0165880777,0.711863497877
3,17.4930036528,0.64158776778,20.9232039057,0.772932601709
4,17.8492969788,0.643711774019,21.6048687863,0.788214475202
5,18.5448676389,0.6810810684,22.3580871077,0.810294434739
6,19.58016324,0.718204627806,23.2632734033,0.826178763024
7,20.3392093827,0.749349280935,23.9494130406,0.840087410763
8,20.3577253845,0.749140467524,24.0843742906,0.845822601922
9,20.836628659,0.755533253473,24.5300434295,0.849189088547
10,21.4482514064,0.768879024283,25.0496141947,0.855115065434
11,21.5322572071,0.770956348689,25.2070969636,0.857736162502
12,22.1302604434,0.790011225922,25.6978710281,0.865502855994
13,22.4368893902,0.798592069563,25.9875507111,0.871035922605
14,22.5337268732,0.799776685189,26.1279560147,0.874578722304
15,22.6262493264,0.801403856443,26.2645109489,0.877380602653
16,22.8238788951,0.806445443532,26.4699068999,0.881698949419
17,23.0399022905,0.813192661262,26.6772337743,0.883835691267
18,23.2207026875,0.8188533798,26.8606913684,0.887846974777
19,23.2709326487,0.820278063332,26.9518977542,0.890683367935
