NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.164,0.164,17.629,17.629,0.718,0.718,0.301,0.301
2,0.173,0.169,19.837,22.254,0.754,0.782,0.430,0.708
3,0.133,0.156,21.884,22.623,0.796,0.791,0.639,0.727
4,0.147,0.145,22.835,23.596,0.815,0.815,0.703,0.758
5,0.145,0.118,25.309,24.401,0.856,0.820,0.837,0.809
6,0.114,0.109,26.181,24.995,0.867,0.824,0.872,0.843
7,0.113,0.095,26.413,25.439,0.875,0.835,0.873,0.866
8,0.113,0.088,26.454,25.929,0.874,0.848,0.871,0.858
9,0.073,0.086,27.728,26.066,0.886,0.852,0.908,0.862
10,0.072,0.077,27.770,26.511,0.886,0.858,0.909,0.882
11,0.067,0.075,28.003,26.684,0.891,0.865,0.913,0.886
12,0.067,0.072,28.040,27.038,0.892,0.871,0.914,0.893
13,0.066,0.071,28.070,27.072,0.893,0.872,0.917,0.894
14,0.066,0.062,28.099,27.903,0.894,0.889,0.917,0.908
15,0.059,0.052,28.498,28.981,0.898,0.903,0.925,0.940
16,0.058,0.052,28.582,29.030,0.901,0.904,0.927,0.940
17,0.058,0.051,28.593,29.103,0.901,0.905,0.926,0.941
18,0.058,0.050,28.616,29.228,0.902,0.906,0.927,0.943
19,0.056,0.049,28.814,29.244,0.909,0.906,0.925,0.943
20,0.053,0.049,29.085,29.254,0.912,0.906,0.929,0.943
