NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.272,0.160,11.675,16.892,0.458,0.786,0.066,0.172
2,0.280,0.185,14.156,17.515,0.663,0.776,0.279,0.259
3,0.227,0.200,17.068,19.314,0.717,0.797,0.565,0.463
4,0.177,0.198,18.856,20.408,0.809,0.814,0.645,0.558
5,0.172,0.140,20.060,22.193,0.830,0.846,0.743,0.671
6,0.158,0.137,20.977,22.449,0.852,0.851,0.776,0.688
7,0.131,0.111,22.952,24.728,0.864,0.886,0.849,0.781
8,0.130,0.110,23.349,24.858,0.869,0.891,0.863,0.785
9,0.121,0.099,24.388,26.195,0.886,0.904,0.900,0.834
10,0.109,0.095,24.899,26.349,0.894,0.905,0.911,0.839
11,0.103,0.090,25.819,27.024,0.906,0.925,0.932,0.859
12,0.101,0.087,25.901,27.216,0.907,0.932,0.935,0.864
13,0.096,0.058,26.291,28.954,0.912,0.942,0.940,0.898
14,0.096,0.058,26.711,29.008,0.915,0.943,0.945,0.899
15,0.095,0.055,26.798,29.182,0.916,0.947,0.946,0.902
16,0.095,0.050,26.877,29.851,0.917,0.950,0.947,0.913
17,0.095,0.050,26.914,29.900,0.919,0.951,0.949,0.913
18,0.094,0.050,27.020,30.076,0.919,0.954,0.951,0.918
19,0.091,0.050,27.343,30.190,0.923,0.956,0.957,0.919
20,0.087,0.047,27.486,30.599,0.926,0.958,0.958,0.926
