NumberofColors,#1_lab_G,#2_lab_G,#1_lab_P,#2_lab_P,#1_lab_S,#2_lab_S,#1_lab_V,#2_lab_V
1,0.173,0.173,15.219,15.219,0.801,0.801,0.132,0.132
2,0.285,0.201,16.606,20.192,0.814,0.886,0.256,0.679
3,0.154,0.218,18.924,20.710,0.852,0.889,0.473,0.691
4,0.154,0.199,20.168,22.001,0.848,0.891,0.614,0.766
5,0.154,0.102,20.357,25.516,0.855,0.911,0.622,0.879
6,0.125,0.100,23.428,25.787,0.902,0.906,0.808,0.890
7,0.116,0.099,24.268,25.858,0.899,0.907,0.850,0.890
8,0.107,0.098,24.995,26.141,0.902,0.912,0.873,0.903
9,0.099,0.097,25.504,26.183,0.900,0.914,0.890,0.904
10,0.093,0.087,26.033,27.104,0.903,0.918,0.893,0.924
11,0.093,0.086,26.068,27.523,0.904,0.917,0.893,0.922
12,0.090,0.082,26.349,27.612,0.909,0.918,0.897,0.923
13,0.087,0.081,27.046,28.041,0.914,0.920,0.914,0.926
14,0.087,0.079,27.113,28.152,0.915,0.922,0.916,0.928
15,0.083,0.077,27.410,28.329,0.915,0.921,0.921,0.930
16,0.083,0.076,27.471,28.416,0.916,0.922,0.923,0.933
17,0.082,0.076,27.503,28.461,0.916,0.923,0.924,0.934
18,0.080,0.076,27.847,28.553,0.923,0.925,0.928,0.936
19,0.080,0.076,27.868,28.567,0.923,0.924,0.929,0.937
20,0.078,0.075,27.920,28.694,0.923,0.925,0.930,0.938
