,L_PSNR,L_SSIM,PSNR,SSIM
0,11.8137059263,0.612994906997,16.4221463218,0.856553671788
1,18.0407818688,0.780380985934,22.2691331594,0.912205137458
2,19.8941681786,0.775443239169,24.3745337531,0.906816640108
3,21.9206488414,0.860002384158,26.2359161675,0.935319490803
4,21.9940136767,0.854847526829,26.3450170408,0.934236832059
5,23.8539459329,0.877850573072,28.0233049038,0.942322883999
6,23.91614329,0.879305608893,28.2135072313,0.944761241909
7,24.3961304326,0.883458360119,28.6435695556,0.946280357044
8,24.8690599632,0.889242624212,29.0599119907,0.948208149013
9,25.7570602395,0.898451378767,29.9746197666,0.951835850513
10,26.5778886977,0.899885792616,30.7036320437,0.952542259718
11,26.6117372557,0.900554589775,30.7563325016,0.953000310373
12,27.1903046044,0.902777082077,31.2525348908,0.95374114114
13,27.1894385927,0.902742186321,31.2682795263,0.95379721128
14,27.1894385927,0.902742186321,31.3168357707,0.95450929814
15,27.293422567,0.90391774326,31.4182740385,0.954934205285
16,27.3464668953,0.905945912659,31.4770112939,0.955888896408
17,27.630412961,0.908172331038,31.7229705546,0.956678756112
18,27.8346251158,0.909769108037,31.8975808946,0.957246392276
19,28.4115872571,0.915816665646,32.3841221958,0.959286777509
