NumberofColors,rgb_G,lab_G,rgb_P,lab_P,rgb_S,lab_S,rgb_V,lab_V
1,0.259,0.230,8.579,13.951,0.568,0.855,0.015,0.324
2,0.254,0.295,8.599,17.099,0.562,0.837,0.017,0.124
3,0.253,0.284,8.599,15.491,0.561,0.831,0.017,0.051
4,0.252,0.284,8.599,15.491,0.561,0.831,0.017,0.051
5,0.247,0.168,8.603,19.462,0.561,0.898,0.017,0.595
6,0.136,0.137,22.839,21.996,0.913,0.928,0.883,0.733
7,0.136,0.137,22.839,21.998,0.913,0.928,0.883,0.733
8,0.197,0.079,8.945,27.051,0.573,0.961,0.080,0.881
9,0.199,0.079,8.954,27.052,0.574,0.961,0.081,0.881
10,0.198,0.079,8.964,27.134,0.575,0.961,0.083,0.884
11,0.196,0.079,8.996,27.139,0.582,0.961,0.094,0.885
12,0.200,0.079,9.024,27.140,0.580,0.961,0.095,0.885
13,0.168,0.078,7.115,27.130,0.456,0.961,0.094,0.866
14,0.170,0.045,7.125,28.979,0.458,0.961,0.095,0.890
15,0.171,0.045,7.136,28.980,0.460,0.961,0.097,0.890
16,0.172,0.045,7.172,28.990,0.471,0.962,0.110,0.890
17,0.177,0.044,7.202,29.017,0.470,0.962,0.111,0.891
18,0.092,0.045,27.543,29.067,0.939,0.961,0.926,0.893
19,0.091,0.044,27.564,29.224,0.940,0.961,0.925,0.898
20,0.091,0.044,27.564,29.265,0.940,0.961,0.925,0.896
