,L_PSNR,L_SSIM,PSNR,SSIM
0,15.8785189668,0.629258459072,19.566815292,0.800217949013
1,15.8789317417,0.630041153602,19.7291575777,0.796461632369
2,15.9039722086,0.628507238589,19.7496866798,0.79579386576
3,16.2697805979,0.604949769156,20.2441395263,0.786370747499
4,16.2622552757,0.621641921529,20.0920658507,0.790168911289
5,16.7618975309,0.596364795596,20.7149222611,0.781774663223
6,17.2621188974,0.621540359012,21.1818551705,0.788235885801
7,17.265904514,0.621789170801,21.1858633958,0.788450506267
8,17.6874586532,0.606321703262,21.7888508895,0.800132402625
9,17.7225303916,0.607958047797,21.8222985895,0.801263499625
10,17.7228483345,0.607814615496,21.8312559013,0.801655958025
11,17.7219470831,0.608196707456,21.8396697053,0.802742166843
12,17.7219470831,0.608196707456,21.8397532341,0.802749486247
13,18.1147774409,0.605139324448,22.1783967445,0.801558953476
14,18.1147774409,0.605139324448,22.1783967445,0.801558953476
15,18.1147774409,0.605139324448,22.1783967445,0.801558953476
16,18.4098955973,0.616510826181,22.4373826609,0.806759270141
17,18.4098955973,0.616510826181,22.4373826609,0.806759270141
18,18.4098955973,0.616510826181,22.4373826609,0.806759270141
19,18.4098955973,0.616510826181,22.4373826609,0.806759270141
